,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
210,3664,10/6/19,2820,8.01,4006,Double Time,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
211,3676,10/6/19,2833,6.16,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
212,3683,10/6/19,2927,5.81,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
213,3703,10/6/19,2837,8.13,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
214,3721,10/6/19,2809,7.63,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
215,3735,10/6/19,2941,6.23,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
216,3750,10/6/19,2737,7.03,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
217,3765,10/6/19,2779,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
218,3768,10/6/19,2941,6.21,4006,Double Time,AXA3,A-Shift X5 Asm Team 3,Active,Non-Hispanic/Latino,,,
219,3777,10/6/19,1720,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
220,3812,10/6/19,1720,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
221,3821,10/6/19,2942,7.48,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
222,3836,10/6/19,1830,7.81,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
223,3846,10/6/19,1745,11.45,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
224,3875,10/6/19,2815,5.32,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
225,3886,10/6/19,2825,7.51,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
